,record_identifier,meter_number,consumption,file_type_identifier,company_id,file_generation_number,measurement_datetime,file_creation_datetime
83,CONSU,3,3.08,SMRT,GAZ,PN000001,2019/10/15 14:00:00,2019/10/16 10:29:39
84,CONSU,3,1.28,SMRT,GAZ,PN000001,2019/10/15 15:00:00,2019/10/16 10:29:39
85,CONSU,3,9.52,SMRT,GAZ,PN000001,2019/10/15 16:00:00,2019/10/16 10:29:39
86,CONSU,3,11.91,SMRT,GAZ,PN000001,2019/10/15 17:00:00,2019/10/16 10:29:39
87,CONSU,3,1.35,SMRT,GAZ,PN000001,2019/10/15 18:00:00,2019/10/16 10:29:39
88,CONSU,3,7.75,SMRT,GAZ,PN000001,2019/10/15 19:00:00,2019/10/16 10:29:39
89,CONSU,3,5.74,SMRT,GAZ,PN000001,2019/10/15 20:00:00,2019/10/16 10:29:39
90,CONSU,3,7.03,SMRT,GAZ,PN000001,2019/10/15 21:00:00,2019/10/16 10:29:39
91,CONSU,3,14.89,SMRT,GAZ,PN000001,2019/10/15 22:00:00,2019/10/16 10:29:39
92,CONSU,3,4.44,SMRT,GAZ,PN000001,2019/10/15 23:00:00,2019/10/16 10:29:39
93,CONSU,3,6.65,SMRT,GAZ,PN000001,2019/10/16 00:00:00,2019/10/16 10:29:39
94,CONSU,3,19.63,SMRT,GAZ,PN000001,2019/10/16 01:00:00,2019/10/16 10:29:39
95,CONSU,3,2.61,SMRT,GAZ,PN000001,2019/10/16 02:00:00,2019/10/16 10:29:39
96,CONSU,3,2.24,SMRT,GAZ,PN000001,2019/10/16 03:00:00,2019/10/16 10:29:39
97,CONSU,3,13.28,SMRT,GAZ,PN000001,2019/10/16 04:00:00,2019/10/16 10:29:39
98,CONSU,4,15.34,SMRT,GAZ,PN000001,2019/10/14 10:00:00,2019/10/16 10:29:39
99,CONSU,4,16.59,SMRT,GAZ,PN000001,2019/10/14 11:00:00,2019/10/16 10:29:39
100,CONSU,4,12.78,SMRT,GAZ,PN000001,2019/10/14 12:00:00,2019/10/16 10:29:39
101,CONSU,4,3.81,SMRT,GAZ,PN000001,2019/10/14 13:00:00,2019/10/16 10:29:39
102,CONSU,4,4.06,SMRT,GAZ,PN000001,2019/10/14 14:00:00,2019/10/16 10:29:39
103,CONSU,4,11.45,SMRT,GAZ,PN000001,2019/10/14 15:00:00,2019/10/16 10:29:39
104,CONSU,4,17.2,SMRT,GAZ,PN000001,2019/10/14 16:00:00,2019/10/16 10:29:39
105,CONSU,4,6.93,SMRT,GAZ,PN000001,2019/10/14 17:00:00,2019/10/16 10:29:39
106,CONSU,4,8.87,SMRT,GAZ,PN000001,2019/10/14 18:00:00,2019/10/16 10:29:39
107,CONSU,4,5.3,SMRT,GAZ,PN000001,2019/10/14 19:00:00,2019/10/16 10:29:39
108,CONSU,4,17.62,SMRT,GAZ,PN000001,2019/10/14 20:00:00,2019/10/16 10:29:39
109,CONSU,4,18.29,SMRT,GAZ,PN000001,2019/10/14 21:00:00,2019/10/16 10:29:39
110,CONSU,4,18.31,SMRT,GAZ,PN000001,2019/10/14 22:00:00,2019/10/16 10:29:39
111,CONSU,4,9.21,SMRT,GAZ,PN000001,2019/10/14 23:00:00,2019/10/16 10:29:39
112,CONSU,4,12.38,SMRT,GAZ,PN000001,2019/10/15 00:00:00,2019/10/16 10:29:39
113,CONSU,4,7.26,SMRT,GAZ,PN000001,2019/10/15 01:00:00,2019/10/16 10:29:39
114,CONSU,4,9.73,SMRT,GAZ,PN000001,2019/10/15 02:00:00,2019/10/16 10:29:39
115,CONSU,4,11.26,SMRT,GAZ,PN000001,2019/10/15 03:00:00,2019/10/16 10:29:39
116,CONSU,4,19.63,SMRT,GAZ,PN000001,2019/10/15 04:00:00,2019/10/16 10:29:39
117,CONSU,4,8.37,SMRT,GAZ,PN000001,2019/10/15 05:00:00,2019/10/16 10:29:39
118,CONSU,4,18.88,SMRT,GAZ,PN000001,2019/10/15 06:00:00,2019/10/16 10:29:39
119,CONSU,4,9.71,SMRT,GAZ,PN000001,2019/10/15 07:00:00,2019/10/16 10:29:39
120,CONSU,4,18.88,SMRT,GAZ,PN000001,2019/10/15 08:00:00,2019/10/16 10:29:39
121,CONSU,4,6.66,SMRT,GAZ,PN000001,2019/10/15 09:00:00,2019/10/16 10:29:39
122,CONSU,4,4.39,SMRT,GAZ,PN000001,2019/10/15 10:00:00,2019/10/16 10:29:39
123,CONSU,4,19.74,SMRT,GAZ,PN000001,2019/10/15 11:00:00,2019/10/16 10:29:39
124,CONSU,4,17.56,SMRT,GAZ,PN000001,2019/10/15 12:00:00,2019/10/16 10:29:39
125,CONSU,4,6.2,SMRT,GAZ,PN000001,2019/10/15 13:00:00,2019/10/16 10:29:39
126,CONSU,4,11.57,SMRT,GAZ,PN000001,2019/10/15 14:00:00,2019/10/16 10:29:39
127,CONSU,4,10.05,SMRT,GAZ,PN000001,2019/10/15 15:00:00,2019/10/16 10:29:39
128,CONSU,4,4.78,SMRT,GAZ,PN000001,2019/10/15 16:00:00,2019/10/16 10:29:39
129,CONSU,4,10.52,SMRT,GAZ,PN000001,2019/10/15 17:00:00,2019/10/16 10:29:39
130,CONSU,4,16.49,SMRT,GAZ,PN000001,2019/10/15 18:00:00,2019/10/16 10:29:39
131,CONSU,4,19.61,SMRT,GAZ,PN000001,2019/10/15 19:00:00,2019/10/16 10:29:39
132,CONSU,4,17.16,SMRT,GAZ,PN000001,2019/10/15 20:00:00,2019/10/16 10:29:39
133,CONSU,4,8.38,SMRT,GAZ,PN000001,2019/10/15 21:00:00,2019/10/16 10:29:39
134,CONSU,4,8.19,SMRT,GAZ,PN000001,2019/10/15 22:00:00,2019/10/16 10:29:39
135,CONSU,4,14.6,SMRT,GAZ,PN000001,2019/10/15 23:00:00,2019/10/16 10:29:39
136,CONSU,4,4.83,SMRT,GAZ,PN000001,2019/10/16 00:00:00,2019/10/16 10:29:39
137,CONSU,5,3.26,SMRT,GAZ,PN000001,2019/10/14 21:00:00,2019/10/16 10:29:39
138,CONSU,5,12.77,SMRT,GAZ,PN000001,2019/10/14 22:00:00,2019/10/16 10:29:39
139,CONSU,5,17.34,SMRT,GAZ,PN000001,2019/10/14 23:00:00,2019/10/16 10:29:39
140,CONSU,5,12.91,SMRT,GAZ,PN000001,2019/10/15 00:00:00,2019/10/16 10:29:39
141,CONSU,5,10.05,SMRT,GAZ,PN000001,2019/10/15 01:00:00,2019/10/16 10:29:39
142,CONSU,5,18.79,SMRT,GAZ,PN000001,2019/10/15 02:00:00,2019/10/16 10:29:39
143,CONSU,5,5.41,SMRT,GAZ,PN000001,2019/10/15 03:00:00,2019/10/16 10:29:39
144,CONSU,5,9.52,SMRT,GAZ,PN000001,2019/10/15 04:00:00,2019/10/16 10:29:39
145,CONSU,5,6.94,SMRT,GAZ,PN000001,2019/10/15 05:00:00,2019/10/16 10:29:39
146,CONSU,5,19.54,SMRT,GAZ,PN000001,2019/10/15 06:00:00,2019/10/16 10:29:39
147,CONSU,5,16.81,SMRT,GAZ,PN000001,2019/10/15 07:00:00,2019/10/16 10:29:39
148,CONSU,5,2.56,SMRT,GAZ,PN000001,2019/10/15 08:00:00,2019/10/16 10:29:39
149,CONSU,5,10.57,SMRT,GAZ,PN000001,2019/10/15 09:00:00,2019/10/16 10:29:39
150,CONSU,5,4.81,SMRT,GAZ,PN000001,2019/10/15 10:00:00,2019/10/16 10:29:39
151,CONSU,5,3.72,SMRT,GAZ,PN000001,2019/10/15 11:00:00,2019/10/16 10:29:39
152,CONSU,5,19.29,SMRT,GAZ,PN000001,2019/10/15 12:00:00,2019/10/16 10:29:39
153,CONSU,5,5.09,SMRT,GAZ,PN000001,2019/10/15 13:00:00,2019/10/16 10:29:39
154,CONSU,5,18.34,SMRT,GAZ,PN000001,2019/10/15 14:00:00,2019/10/16 10:29:39
155,CONSU,5,5.12,SMRT,GAZ,PN000001,2019/10/15 15:00:00,2019/10/16 10:29:39
156,CONSU,5,1.6,SMRT,GAZ,PN000001,2019/10/15 16:00:00,2019/10/16 10:29:39
157,CONSU,5,2.2,SMRT,GAZ,PN000001,2019/10/15 17:00:00,2019/10/16 10:29:39
158,CONSU,5,12.94,SMRT,GAZ,PN000001,2019/10/15 18:00:00,2019/10/16 10:29:39
159,CONSU,5,16.03,SMRT,GAZ,PN000001,2019/10/15 19:00:00,2019/10/16 10:29:39
160,CONSU,5,7.62,SMRT,GAZ,PN000001,2019/10/15 20:00:00,2019/10/16 10:29:39
161,CONSU,5,11.89,SMRT,GAZ,PN000001,2019/10/15 21:00:00,2019/10/16 10:29:39
162,CONSU,5,7.79,SMRT,GAZ,PN000001,2019/10/15 22:00:00,2019/10/16 10:29:39
163,CONSU,5,10.58,SMRT,GAZ,PN000001,2019/10/15 23:00:00,2019/10/16 10:29:39
164,CONSU,5,11.13,SMRT,GAZ,PN000001,2019/10/16 00:00:00,2019/10/16 10:29:39
165,CONSU,5,13.15,SMRT,GAZ,PN000001,2019/10/16 01:00:00,2019/10/16 10:29:39
166,CONSU,5,1.07,SMRT,GAZ,PN000001,2019/10/16 02:00:00,2019/10/16 10:29:39
167,CONSU,5,8.89,SMRT,GAZ,PN000001,2019/10/16 03:00:00,2019/10/16 10:29:39
168,CONSU,5,14.16,SMRT,GAZ,PN000001,2019/10/16 04:00:00,2019/10/16 10:29:39
169,CONSU,5,17.48,SMRT,GAZ,PN000001,2019/10/16 05:00:00,2019/10/16 10:29:39
170,CONSU,5,8.64,SMRT,GAZ,PN000001,2019/10/16 06:00:00,2019/10/16 10:29:39
171,CONSU,5,14.33,SMRT,GAZ,PN000001,2019/10/16 07:00:00,2019/10/16 10:29:39
172,CONSU,5,5.98,SMRT,GAZ,PN000001,2019/10/16 08:00:00,2019/10/16 10:29:39
173,CONSU,5,18.74,SMRT,GAZ,PN000001,2019/10/16 09:00:00,2019/10/16 10:29:39
174,CONSU,5,15.64,SMRT,GAZ,PN000001,2019/10/16 10:00:00,2019/10/16 10:29:39
1,CONSU,1,15.05,SMRT,GAZ,PN000002,2019/10/15 06:00:00,2019/10/16 10:29:41
2,CONSU,1,1.11,SMRT,GAZ,PN000002,2019/10/15 07:00:00,2019/10/16 10:29:41
3,CONSU,1,1.18,SMRT,GAZ,PN000002,2019/10/15 08:00:00,2019/10/16 10:29:41
4,CONSU,1,14.96,SMRT,GAZ,PN000002,2019/10/15 09:00:00,2019/10/16 10:29:41
5,CONSU,1,11.56,SMRT,GAZ,PN000002,2019/10/15 10:00:00,2019/10/16 10:29:41
6,CONSU,1,16.06,SMRT,GAZ,PN000002,2019/10/15 11:00:00,2019/10/16 10:29:41
7,CONSU,1,9.91,SMRT,GAZ,PN000002,2019/10/15 12:00:00,2019/10/16 10:29:41
8,CONSU,1,1.82,SMRT,GAZ,PN000002,2019/10/15 13:00:00,2019/10/16 10:29:41
9,CONSU,1,6.54,SMRT,GAZ,PN000002,2019/10/15 14:00:00,2019/10/16 10:29:41
10,CONSU,1,13.79,SMRT,GAZ,PN000002,2019/10/15 15:00:00,2019/10/16 10:29:41
11,CONSU,1,18.17,SMRT,GAZ,PN000002,2019/10/15 16:00:00,2019/10/16 10:29:41
12,CONSU,1,6.93,SMRT,GAZ,PN000002,2019/10/15 17:00:00,2019/10/16 10:29:41
13,CONSU,1,9.8,SMRT,GAZ,PN000002,2019/10/15 18:00:00,2019/10/16 10:29:41
14,CONSU,1,14.47,SMRT,GAZ,PN000002,2019/10/15 19:00:00,2019/10/16 10:29:41
15,CONSU,1,3.69,SMRT,GAZ,PN000002,2019/10/15 20:00:00,2019/10/16 10:29:41
16,CONSU,1,19.07,SMRT,GAZ,PN000002,2019/10/15 21:00:00,2019/10/16 10:29:41
17,CONSU,1,4.28,SMRT,GAZ,PN000002,2019/10/15 22:00:00,2019/10/16 10:29:41
18,CONSU,1,6.39,SMRT,GAZ,PN000002,2019/10/15 23:00:00,2019/10/16 10:29:41
19,CONSU,1,17.9,SMRT,GAZ,PN000002,2019/10/16 00:00:00,2019/10/16 10:29:41
20,CONSU,1,19.73,SMRT,GAZ,PN000002,2019/10/16 01:00:00,2019/10/16 10:29:41
21,CONSU,1,9.14,SMRT,GAZ,PN000002,2019/10/16 02:00:00,2019/10/16 10:29:41
22,CONSU,1,15.07,SMRT,GAZ,PN000002,2019/10/16 03:00:00,2019/10/16 10:29:41
23,CONSU,1,6.24,SMRT,GAZ,PN000002,2019/10/16 04:00:00,2019/10/16 10:29:41
24,CONSU,1,19.99,SMRT,GAZ,PN000002,2019/10/16 05:00:00,2019/10/16 10:29:41
25,CONSU,1,12.72,SMRT,GAZ,PN000002,2019/10/16 06:00:00,2019/10/16 10:29:41
26,CONSU,1,2.92,SMRT,GAZ,PN000002,2019/10/16 07:00:00,2019/10/16 10:29:41
27,CONSU,1,11.25,SMRT,GAZ,PN000002,2019/10/16 08:00:00,2019/10/16 10:29:41
28,CONSU,1,0.83,SMRT,GAZ,PN000002,2019/10/16 09:00:00,2019/10/16 10:29:41
29,CONSU,1,15.61,SMRT,GAZ,PN000002,2019/10/16 10:00:00,2019/10/16 10:29:41
30,CONSU,1,5.82,SMRT,GAZ,PN000002,2019/10/16 11:00:00,2019/10/16 10:29:41
31,CONSU,1,11.51,SMRT,GAZ,PN000002,2019/10/16 12:00:00,2019/10/16 10:29:41
32,CONSU,1,7.32,SMRT,GAZ,PN000002,2019/10/16 13:00:00,2019/10/16 10:29:41
33,CONSU,1,0.09,SMRT,GAZ,PN000002,2019/10/16 14:00:00,2019/10/16 10:29:41
34,CONSU,1,17.39,SMRT,GAZ,PN000002,2019/10/16 15:00:00,2019/10/16 10:29:41
35,CONSU,1,8.34,SMRT,GAZ,PN000002,2019/10/16 16:00:00,2019/10/16 10:29:41
36,CONSU,1,9.2,SMRT,GAZ,PN000002,2019/10/16 17:00:00,2019/10/16 10:29:41
37,CONSU,1,17.55,SMRT,GAZ,PN000002,2019/10/16 18:00:00,2019/10/16 10:29:41
38,CONSU,1,16.84,SMRT,GAZ,PN000002,2019/10/16 19:00:00,2019/10/16 10:29:41
39,CONSU,1,3.61,SMRT,GAZ,PN000002,2019/10/16 20:00:00,2019/10/16 10:29:41
40,CONSU,1,15.13,SMRT,GAZ,PN000002,2019/10/16 21:00:00,2019/10/16 10:29:41
41,CONSU,2,15.43,SMRT,GAZ,PN000002,2019/10/15 08:00:00,2019/10/16 10:29:41
42,CONSU,2,1.18,SMRT,GAZ,PN000002,2019/10/15 09:00:00,2019/10/16 10:29:41
43,CONSU,2,9.29,SMRT,GAZ,PN000002,2019/10/15 10:00:00,2019/10/16 10:29:41
44,CONSU,2,7.22,SMRT,GAZ,PN000002,2019/10/15 11:00:00,2019/10/16 10:29:41
45,CONSU,2,17.11,SMRT,GAZ,PN000002,2019/10/15 12:00:00,2019/10/16 10:29:41
46,CONSU,2,3.68,SMRT,GAZ,PN000002,2019/10/15 13:00:00,2019/10/16 10:29:41
47,CONSU,2,6.63,SMRT,GAZ,PN000002,2019/10/15 14:00:00,2019/10/16 10:29:41
48,CONSU,2,8.76,SMRT,GAZ,PN000002,2019/10/15 15:00:00,2019/10/16 10:29:41
49,CONSU,2,14.47,SMRT,GAZ,PN000002,2019/10/15 16:00:00,2019/10/16 10:29:41
50,CONSU,2,18.8,SMRT,GAZ,PN000002,2019/10/15 17:00:00,2019/10/16 10:29:41
51,CONSU,2,12.88,SMRT,GAZ,PN000002,2019/10/15 18:00:00,2019/10/16 10:29:41
52,CONSU,2,3.55,SMRT,GAZ,PN000002,2019/10/15 19:00:00,2019/10/16 10:29:41
53,CONSU,2,13.54,SMRT,GAZ,PN000002,2019/10/15 20:00:00,2019/10/16 10:29:41
54,CONSU,2,18.74,SMRT,GAZ,PN000002,2019/10/15 21:00:00,2019/10/16 10:29:41
55,CONSU,2,12.06,SMRT,GAZ,PN000002,2019/10/15 22:00:00,2019/10/16 10:29:41
56,CONSU,2,19.85,SMRT,GAZ,PN000002,2019/10/15 23:00:00,2019/10/16 10:29:41
57,CONSU,2,13.73,SMRT,GAZ,PN000002,2019/10/16 00:00:00,2019/10/16 10:29:41
58,CONSU,2,8.32,SMRT,GAZ,PN000002,2019/10/16 01:00:00,2019/10/16 10:29:41
59,CONSU,2,19.58,SMRT,GAZ,PN000002,2019/10/16 02:00:00,2019/10/16 10:29:41
60,CONSU,2,16.99,SMRT,GAZ,PN000002,2019/10/16 03:00:00,2019/10/16 10:29:41
61,CONSU,2,9.66,SMRT,GAZ,PN000002,2019/10/16 04:00:00,2019/10/16 10:29:41
62,CONSU,2,17.52,SMRT,GAZ,PN000002,2019/10/16 05:00:00,2019/10/16 10:29:41
63,CONSU,2,18.45,SMRT,GAZ,PN000002,2019/10/16 06:00:00,2019/10/16 10:29:41
64,CONSU,2,4.4,SMRT,GAZ,PN000002,2019/10/16 07:00:00,2019/10/16 10:29:41
65,CONSU,2,11.1,SMRT,GAZ,PN000002,2019/10/16 08:00:00,2019/10/16 10:29:41
66,CONSU,3,0.66,SMRT,GAZ,PN000002,2019/10/15 03:00:00,2019/10/16 10:29:41
67,CONSU,3,0.45,SMRT,GAZ,PN000002,2019/10/15 04:00:00,2019/10/16 10:29:41
68,CONSU,3,3.99,SMRT,GAZ,PN000002,2019/10/15 05:00:00,2019/10/16 10:29:41
69,CONSU,3,12.39,SMRT,GAZ,PN000002,2019/10/15 06:00:00,2019/10/16 10:29:41
70,CONSU,3,4.75,SMRT,GAZ,PN000002,2019/10/15 07:00:00,2019/10/16 10:29:41
71,CONSU,3,12.98,SMRT,GAZ,PN000002,2019/10/15 08:00:00,2019/10/16 10:29:41
72,CONSU,3,10.74,SMRT,GAZ,PN000002,2019/10/15 09:00:00,2019/10/16 10:29:41
73,CONSU,3,4.16,SMRT,GAZ,PN000002,2019/10/15 10:00:00,2019/10/16 10:29:41
74,CONSU,3,9.65,SMRT,GAZ,PN000002,2019/10/15 11:00:00,2019/10/16 10:29:41
75,CONSU,3,10.17,SMRT,GAZ,PN000002,2019/10/15 12:00:00,2019/10/16 10:29:41
76,CONSU,3,14.22,SMRT,GAZ,PN000002,2019/10/15 13:00:00,2019/10/16 10:29:41
77,CONSU,3,16.85,SMRT,GAZ,PN000002,2019/10/15 14:00:00,2019/10/16 10:29:41
78,CONSU,3,10.72,SMRT,GAZ,PN000002,2019/10/15 15:00:00,2019/10/16 10:29:41
79,CONSU,3,14.44,SMRT,GAZ,PN000002,2019/10/15 16:00:00,2019/10/16 10:29:41
80,CONSU,3,15.74,SMRT,GAZ,PN000002,2019/10/15 17:00:00,2019/10/16 10:29:41
81,CONSU,3,18.2,SMRT,GAZ,PN000002,2019/10/15 18:00:00,2019/10/16 10:29:41
82,CONSU,3,15.47,SMRT,GAZ,PN000002,2019/10/15 19:00:00,2019/10/16 10:29:41
83,CONSU,3,19.0,SMRT,GAZ,PN000002,2019/10/15 20:00:00,2019/10/16 10:29:41
